site	max_n	Ho	He	Fis	ar	ar_adapt
AC	9	0.0969	0.1686	0.3204	1.1706	1.2095
ACR	8	0.1036	0.1869	0.3443	1.1910	1.2507
AL1	9	0.0996	0.1659	0.3122	1.1724	1.2067
ARH	9	0.0928	0.1513	0.2977	1.1560	1.1794
BG	9	0.0850	0.1428	0.3158	1.1459	1.1713
BHU	9	0.1014	0.1616	0.2934	1.1661	1.2006
BI	9	0.0972	0.1613	0.3120	1.1668	1.1846
BR	9	0.0983	0.1710	0.3367	1.1771	1.2119
CAT	9	0.0744	0.1260	0.3027	NA	NA
CCT	9	0.0799	0.1333	0.2912	NA	NA
CDF	8	0.1012	0.1602	0.2806	1.1650	1.1811
CH	7	0.0976	0.1721	0.3260	1.1729	1.1955
CTP	9	0.0804	0.1340	0.3014	NA	NA
DP	9	0.0984	0.1752	0.3509	1.1795	1.2267
EE	8	0.0964	0.1662	0.3242	1.1698	1.2176
EL	8	0.1048	0.1879	0.3454	1.1936	1.2609
FT	9	0.0986	0.1710	0.3361	1.1770	1.2079
GB	9	0.0973	0.1872	0.3779	1.1897	1.2425
GH	9	0.1033	0.1881	0.3578	1.1940	1.2576
GR2	5	0.0758	0.1501	0.3405	NA	NA
GR3	6	0.0774	0.1614	0.3741	NA	NA
GR4	9	0.1511	0.1513	-0.0241	1.1565	1.1769
HAS	8	0.0989	0.1815	0.3534	1.1843	1.2383
HR	7	0.0906	0.1790	0.3741	1.1747	1.1982
HU	9	0.0910	0.1814	0.3914	1.1815	1.2261
HV	9	0.1050	0.1787	0.3252	1.1849	1.2332
IO	9	0.0945	0.1596	0.3212	1.1648	1.1782
JE	9	0.0973	0.1666	0.3245	1.1725	1.2095
JR	8	0.1069	0.1962	0.3576	1.2018	1.2714
KM	9	0.0981	0.1817	0.3635	1.1863	1.2350
LK1	8	0.0974	0.1609	0.3046	1.1656	1.1839
MN	8	0.1085	0.1719	0.2835	1.1789	1.2010
MTA	9	0.1028	0.1746	0.3281	1.1804	1.2280
NRM	8	0.1028	0.1764	0.3246	1.1813	1.2296
OGC1	2	0.0000	0.0000	NA	NA	NA
OGM1	2	0.0011	0.0014	0.0000	NA	NA
OGM2	2	0.0021	0.0018	0.0000	NA	NA
OGM3	2	0.0039	0.0061	0.0833	NA	NA
OGM5	2	0.0033	0.0046	0.1111	NA	NA
OR_SS	9	0.0983	0.1640	0.3122	1.1696	1.2028
PA	9	0.0924	0.1529	0.3051	1.1579	1.1913
PC	8	0.0957	0.1883	0.3902	1.1896	1.2365
PR	7	0.1183	0.1846	0.2678	1.1900	1.2428
PTM	5	0.0850	0.1711	0.3672	NA	NA
RO	8	0.1017	0.1844	0.3537	1.1895	1.2429
RO_IS	9	0.0891	0.1878	0.4134	1.1848	1.2170
SA	9	0.1030	0.1891	0.3588	1.1954	1.2543
SC	9	0.0934	0.1597	0.3253	1.1646	1.1778
SI	9	0.0945	0.1648	0.3392	1.1701	1.2068
SW144	8	0.0955	0.1709	0.3470	1.1756	1.2149
SW242	9	0.1007	0.1751	0.3326	1.1808	1.2203
SW729	8	0.1065	0.1760	0.3033	1.1819	1.2245
SW748	8	0.0970	0.1699	0.3314	1.1741	1.2136
SW890	8	0.1018	0.1781	0.3340	1.1829	1.2249
TK	9	0.0882	0.1739	0.3883	1.1765	1.2190
TNM	9	0.0941	0.1613	0.3306	1.1665	1.1826
TO	9	0.0929	0.1722	0.3541	1.1752	1.2128
TUE	8	0.1008	0.1723	0.3245	1.1775	1.2247
TW	9	0.1009	0.1888	0.3711	1.1948	1.2546
UC	9	0.1031	0.1822	0.3441	1.1891	1.2426
UPH	6	0.0991	0.1789	0.3385	NA	NA
UR	9	0.1060	0.1806	0.3263	1.1884	1.2446
VA	9	0.0916	0.1857	0.4054	1.1874	1.2426
WIN	8	0.0963	0.1675	0.3324	1.1729	1.2039
ZG	9	0.0972	0.1689	0.3346	1.1737	1.2114
