pop1	pop2	fst	gst	Gst	GGst	D	lat1	lon1	lat2	lon2	geog_dist	lat_dist	nat1	nat2	nat_dist
AC	ACR	0.1239	0.0915	0.1285	0.2016	0.0049	41.317850	1.950016	39.713150	-123.651770	9485148.46	1.604700	native	non_native	1
AC	AL1	0.1502	0.1029	0.1419	0.2219	0.0058	41.317850	1.950016	60.219961	19.540978	2424195.96	-18.902111	native	native	0
AC	ARH	0.1942	0.1294	0.1757	0.2701	0.0080	41.317850	1.950016	60.665200	6.337380	2173073.44	-19.347350	native	native	0
AC	BG	0.2152	0.1435	0.1931	0.2943	0.0089	41.317850	1.950016	61.448100	7.480683	2270462.08	-20.130250	native	native	0
AC	BHU	0.1623	0.1094	0.1502	0.2340	0.0061	41.317850	1.950016	-43.649957	172.456083	19198403.50	-2.332107	native	non_native	1
AC	BI	0.1656	0.1112	0.1525	0.2374	0.0064	41.317850	1.950016	53.372436	-6.168165	1471659.55	-12.054586	native	native	0
AC	BR	0.1211	0.0869	0.1205	0.1908	0.0041	41.317850	1.950016	47.999429	-4.346250	894111.90	-6.681579	native	native	0
AC	CAT	0.2700	0.1796	0.2375	0.3536	0.0118	41.317850	1.950016	NA	NA	NA	NA	native	cultivar	1
AC	CCT	0.2515	0.1667	0.2222	0.3333	0.0106	41.317850	1.950016	NA	NA	NA	NA	native	cultivar	1
AC	CDF	0.1710	0.1158	0.1587	0.2460	0.0065	41.317850	1.950016	51.899611	-8.485889	1419150.44	-10.581761	native	native	0
AC	CH	0.1364	0.1015	0.1401	0.2193	0.0049	41.317850	1.950016	52.144308	-8.948419	1460218.25	-10.826458	native	native	0
AC	CTP	0.2514	0.1670	0.2228	0.3340	0.0107	41.317850	1.950016	NA	NA	NA	NA	native	cultivar	1
AC	DP	0.1224	0.0897	0.1247	0.1967	0.0043	41.317850	1.950016	-27.498370	153.026020	16972438.96	13.819480	native	non_native	1
AC	EE	0.1660	0.1160	0.1598	0.2471	0.0067	41.317850	1.950016	58.717116	23.771596	2464620.13	-17.399266	native	native	0
AC	EL	0.1284	0.0934	0.1315	0.2057	0.0050	41.317850	1.950016	58.259717	26.351250	2548227.21	-16.941867	native	native	0
AC	FT	0.1350	0.0952	0.1319	0.2074	0.0050	41.317850	1.950016	55.619365	10.295065	1702915.52	-14.301515	native	native	0
AC	GB	0.1337	0.0996	0.1398	0.2177	0.0057	41.317850	1.950016	35.229100	-83.390250	7187605.36	6.088750	native	non_native	1
AC	GH	0.1198	0.0883	0.1244	0.1954	0.0047	41.317850	1.950016	43.534722	-80.211667	6472998.30	-2.216872	native	non_native	1
AC	GR2	0.3638	0.2677	0.3588	0.4942	0.0260	41.317850	1.950016	39.574084	21.766271	1688510.21	1.743766	native	native	0
AC	GR3	0.3321	0.2401	0.3252	0.4559	0.0231	41.317850	1.950016	39.748025	21.207248	1637472.70	1.569825	native	native	0
AC	GR4	0.3764	0.2494	0.3399	0.4717	0.0281	41.317850	1.950016	38.324317	21.879305	1734268.39	2.993533	native	native	0
AC	HAS	0.1661	0.1175	0.1641	0.2520	0.0076	41.317850	1.950016	36.378650	-121.567240	9662203.55	4.939200	native	non_native	1
AC	HR	0.2411	0.1688	0.2336	0.3443	0.0126	41.317850	1.950016	46.344650	25.617017	1975363.51	-5.026800	native	native	0
AC	HU	0.2129	0.1487	0.2070	0.3097	0.0112	41.317850	1.950016	46.749300	17.237340	1362840.96	-5.431450	native	native	0
AC	HV	0.1351	0.0947	0.1322	0.2073	0.0052	41.317850	1.950016	42.485660	-71.568700	5898724.44	-1.167810	native	non_native	1
AC	IO	0.1704	0.1151	0.1576	0.2446	0.0067	41.317850	1.950016	53.008050	-9.314440	1551104.03	-11.690200	native	native	0
AC	JE	0.1392	0.0974	0.1344	0.2113	0.0050	41.317850	1.950016	50.951920	11.622820	1303515.80	-9.634070	native	native	0
AC	JR	0.0954	0.0754	0.1069	0.1695	0.0033	41.317850	1.950016	37.408000	-122.227500	9609764.35	3.909850	native	non_native	1
AC	KM	0.1567	0.1103	0.1542	0.2382	NA	41.317850	1.950016	57.734930	26.533140	2522258.09	-16.417080	native	native	0
AC	LK1	0.1628	0.1116	0.1530	0.2380	0.0062	41.317850	1.950016	53.192433	-1.762361	1349257.78	-11.874583	native	native	0
AC	MN	0.1407	0.0973	0.1349	0.2116	0.0052	41.317850	1.950016	53.379820	-2.216060	1376854.47	-12.061970	native	native	0
AC	MTA	0.0979	0.0754	0.1048	0.1675	0.0031	41.317850	1.950016	-34.070356	150.767857	17174660.98	7.247494	native	non_native	1
AC	NRM	0.1117	0.0831	0.1157	0.1836	0.0036	41.317850	1.950016	35.524350	-121.073780	9707941.61	5.793500	native	non_native	1
AC	OGC1	0.5294	0.5102	0.6189	0.7476	0.0541	41.317850	1.950016	41.611100	1.810600	34589.09	-0.293250	native	outgroup	1
