site_code	native	demographics	genetics	round	n_gt	country	c_code	location	region	latitude	longitude	coordinator	elevation	mt	st	ap	sp	mm	sm	Vcov	Bground	Vheight	management	Y0_plt_m2	Y1_plt_m2	Y2_plt_m2	Y0_ros_m2	Y1_ros_m2	Y2_ros_m2	emp_pgr_plt	emp_pgr_ros	ros_prop_fl	ros_mean_reprod	ros_mean_reprod_sc	ros_reprod_m2	ros_reprod_sc_m2	plt_prop_fl	plt_mean_reprod	plt_mean_reprod_sc	plt_reprod_m2	plt_reprod_sc_m2
AC	native	Y	Y	1	9	Spain	ES	Archuchurria	Europe	41.317850	1.950016	MunneBosch	466	14.10	5.82	682.50	28.02	0.7820	0.2789	28.50	17.75	0.00	n	31.20	10.93	NA	42.13	10.93	NA	-1.05	-1.35	0.40	36.39	0.29	1135.47	8.89	0.40	36.39	0.29	1135.47	8.89
ARH	native	Y	Y	1	9	Norway	NO	Arhelleren	Europe	60.665200	6.337380	LieOlsen	431	4.34	5.59	2114.13	37.61	1.3314	0.1157	86.88	0.13	6.19	n	5.43	7.47	NA	6.57	9.33	NA	0.32	0.35	0.32	4.37	0.04	200.86	1.94	0.39	5.86	0.06	200.86	1.94
BG	native	Y	Y	1	9	Norway	NO	Bargarden	Europe	61.448100	7.480683	HorunnHamre	62	5.08	6.25	872.80	33.70	1.1093	0.0745	95.63	3.13	13.94	m	62.50	55.56	NA	71.00	65.78	NA	-0.12	-0.08	0.27	4.13	0.03	286.86	2.10	0.28	4.66	0.03	286.86	2.10
BI	native	Y	Y	2	9	Ireland	IE	BullIsland	Europe	53.372436	-6.168165	Villellas	3	9.95	3.88	757.40	15.40	0.9787	0.1176	100.00	0.00	17.50	n	30.77	16.31	NA	48.31	24.00	NA	-0.63	-0.70	0.33	7.34	0.03	336.62	1.49	0.42	11.16	0.05	336.62	1.49
CDF	native	Y	Y	2	8	Ireland	IE	DistilleryFields	Europe	51.899611	-8.485889	Wingler	10	10.35	3.59	1047.00	32.88	1.0910	0.0828	100.00	0.00	15.00	m	64.86	53.14	NA	70.29	60.00	NA	-0.20	-0.16	0.42	17.50	0.07	1229.71	4.99	0.43	18.96	0.08	1229.71	4.99
CH	native	Y	Y	1	7	Ireland	IE	Coolclough	Europe	52.144308	-8.948419	Buckley	100	9.96	3.70	1086.33	30.06	1.1068	0.0849	100.00	0.00	21.25	m	28.80	27.27	26.91	77.20	72.00	70.55	-0.05	-0.07	0.46	15.36	0.03	1038.40	1.93	0.65	36.56	0.07	1038.40	1.93
EE	native	Y	Y	1	8	Estonia	EE	Allika	Europe	58.717116	23.771596	Helm	4.5	6.19	8.07	620.50	33.85	0.8736	0.2085	86.25	3.75	11.56	m	16.16	17.93	NA	19.04	26.81	NA	0.10	0.34	0.42	10.02	0.05	187.52	0.94	0.49	11.84	0.06	187.52	0.94
EL	native	Y	Y	2	8	Estonia	EE	Elva	Europe	58.259717	26.351250	Partel	60	5.37	8.50	642.14	31.60	0.8842	0.1711	92.50	5.50	30.00	m	45.78	55.56	NA	65.78	91.11	NA	0.19	0.33	0.73	33.20	1.34	2168.89	87.86	0.75	47.84	1.94	2168.89	87.86
GU	native	Y	N	NA	NA	Norway	NO	GuriskJaer	Europe	59.335870	10.489140	Skarpaas	2	7.12	7.17	788.25	28.60	0.9480	0.1524	92.25	7.75	0.00	n	98.67	106.67	96.00	156.00	124.00	126.67	0.08	-0.23	0.13	3.07	0.07	721.33	17.24	0.18	4.66	0.11	721.33	17.24
HR	native	Y	Y	1	7	Romania	RO	HargitaMountains	Europe	46.344650	25.617017	Csergo	1002	5.35	7.99	614.00	52.66	0.9998	0.0541	100.00	0.00	16.67	m	137.33	209.33	NA	176.00	268.00	NA	0.42	0.42	0.15	1.98	0.01	346.67	2.09	0.18	2.52	0.02	346.67	2.09
